TABLE_NAME,DATA_TYPE,COLUMN_NAME,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,COMMENT
BANK_MARKETING_DATA,TEXT,CONTACT,NO,255,,,The contact Details of an Individual
BANK_MARKETING_DATA,TEXT,DESPOSIT,NO,255,,,Does the Individual have a deposit account
BANK_MARKETING_DATA,TEXT,CAMPAIGN,NO,255,,,The Number of Campaigns an Individual has
BANK_MARKETING_DATA,TEXT,MARITAL_STATUS,NO,255,,,The current Marital Status of an Individual
BANK_MARKETING_DATA,TEXT,DEFAULT,NO,255,,,The status of an individual defaulting a payment
BANK_MARKETING_DATA,TEXT,PREVIOUS,NO,255,,,An Individual s previous campaign status
BANK_MARKETING_DATA,TEXT,DURATION,NO,255,,,The Duration of the Loan
BANK_MARKETING_DATA,TEXT,JOB,NO,255,,,Occupation of an Individual
BANK_MARKETING_DATA,TEXT,MONTH,NO,255,,,The Month the Loan was taken
BANK_MARKETING_DATA,TEXT,BALANCE,NO,600,,,Account Balance of an Individual
BANK_MARKETING_DATA,TEXT,HOUSING,NO,600,,,Housing Status of an Individual
BANK_MARKETING_DATA,TEXT,PREVIOUS_OUTCOME,NO,255,,,Prior Campaign Outcome
BANK_MARKETING_DATA,TEXT,AGE,NO,255,,,The Age of an individual
BANK_MARKETING_DATA,TEXT,EDUCATION,NO,255,,,The latest education status of an Individual
BANK_MARKETING_DATA,TEXT,DAY,NO,255,,,The Day the Loan was Taken
BANK_MARKETING_DATA,TEXT,PREVIOUS_DAYS,NO,255,,,The Number of Previous Days of the campaign
BANK_MARKETING_DATA,TEXT,LOAN,NO,255,,,Does the Individual have an existing Loan
