TABLE_NAME,DATA_TYPE,COLUMN_NAME,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,COMMENT
OPENFIGI_SECURITY_INDEX,ARRAY,GLOBAL_TICKERS,YES,,,,An array of ticker symbols under which the security may be traded globally on all exchanges.
OPENFIGI_SECURITY_INDEX,TEXT,PRIMARY_TICKER,YES,16777216,,,"The ticker for the primary trading venue of a security. If a security trades on multiple exchanges or has numerous tickers, an attempt is made to select the ticker from the home market."
OPENFIGI_SECURITY_INDEX,ARRAY,SECURITY_TYPE,YES,,,,"The type of security, such as ""Common Stock"" for equities. Securities can fall into multiple categories such as when a company has both tradable shares of Common Stock and an ADR."
OPENFIGI_SECURITY_INDEX,ARRAY,SECURITY_SUBTYPE,YES,,,,"Sub-type of the security, providing further classification. Like SECURITY_TYPE, securities can also have multiple subtypes."
OPENFIGI_SECURITY_INDEX,ARRAY,EXCHANGE_CODES,YES,,,,Codes representing the exchanges where the security is traded. An empty array means that exchange information is not available.
OPENFIGI_SECURITY_INDEX,TEXT,ASSET_CLASS,YES,16777216,,,"Broad-based class of the asset, such as 'Equity', 'Muni', etc."
OPENFIGI_SECURITY_INDEX,TEXT,SECURITY_NAME,YES,16777216,,,Name of the security.
OPENFIGI_SECURITY_INDEX,ARRAY,OPENFIGI_FIGI_ID,YES,,,,"Array of the FIGI (Financial Instrument Global Identifier) ID(s) for the security. In cases where there is a share class FIGI (global ID) or composite FIGI (country-level ID) becase a security trades across multiple countries or exchanges, there may be multiple FIGI IDs associated with a single security."
OPENFIGI_SECURITY_INDEX,TEXT,TOP_LEVEL_OPENFIGI_ID_TYPE,YES,23,,,"The highest level of the OpenFIGI ID in the hierarchy for the security held. The hierarchy follows the order ""share class FIGI"" (global) > ""composite FIGI"" (country-level) > ""FIGI"" (exchange-level). For example, if the highest level of ID (recorded in TOP_LEVEL_OPENFIGI_ID) is the composite FIGI, then this will be equal to 'openfigi_composite_id'."
OPENFIGI_SECURITY_INDEX,ARRAY,OPENFIGI_COMPOSITE_ID,YES,,,,Array of the country-level composite FIGI ID(s) for the security. In cases where there is a share class FIGI (global ID) and the security is tradable in more than one country there may be multiple composite IDs associated with a single security.
OPENFIGI_SECURITY_INDEX,ARRAY,OPENFIGI_SHARE_CLASS_ID,YES,,,,The global share class FIGI ID(s) for the security. This is meant to be the most broad classification in the FIGI classification hierarchy.
OPENFIGI_SECURITY_INDEX,TEXT,TOP_LEVEL_OPENFIGI_ID,YES,16777216,,,"OpenFIGI ID of the highest, most widely encompassing level for a particular security. The hierarchy follows the order ""share class FIGI"" (global) > ""composite FIGI"" (country-level) > ""FIGI"" (exchange-level)."
