TABLE_NAME,DATA_TYPE,COLUMN_NAME,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,COMMENT
SEC_HOLDING_FILING_ATTRIBUTES,TEXT,INVESTMENT_DISCRETION,YES,14,,,"One of shared-defined, sole, or shared-other. Denotes the nature of the investment discretion for this holding by the filing manager."
SEC_HOLDING_FILING_ATTRIBUTES,ARRAY,OPENFIGI_SHARE_CLASS_ID,YES,,,,The global share class FIGI ID(s) for the security. This is meant to be the most broad classification in the FIGI classification hierarchy.
SEC_HOLDING_FILING_ATTRIBUTES,NUMBER,PRINCIPAL_AMOUNT,YES,,38,0,"The principal amount held. When NULL, the number of shares was disclosed instead, and can be found in the number_of_shares column."
SEC_HOLDING_FILING_ATTRIBUTES,TEXT,TOP_LEVEL_OPENFIGI_ID_TYPE,YES,16777216,,,"The highest level of the OpenFIGI ID in the hierarchy for the security held. The hierarchy follows the order ""share class FIGI"" (global) > ""composite FIGI"" (country-level) > ""FIGI"" (exchange-level). For example, if the highest level of ID (recorded in TOP_LEVEL_OPENFIGI_ID) is the composite FIGI, then this will be equal to 'openfigi_composite_id'."
SEC_HOLDING_FILING_ATTRIBUTES,TEXT,HOLDER_CIK,YES,16777216,,,Central Index Key (CIK) of the holding manager.
SEC_HOLDING_FILING_ATTRIBUTES,TEXT,ASSET_CLASS,YES,16777216,,,"Broad-based class of the asset, such as 'Equity', 'Muni', etc."
SEC_HOLDING_FILING_ATTRIBUTES,TEXT,SECURITY_TYPE,YES,16777216,,,"The type of security, such as ""Common Stock"" for equities. Securities can fall into multiple categories such as when a company has both tradable shares of Common Stock and an ADR."
SEC_HOLDING_FILING_ATTRIBUTES,TEXT,SECURITY_NAME,YES,16777216,,,Name of the security or of the issuer of the security.
SEC_HOLDING_FILING_ATTRIBUTES,NUMBER,MARKET_VALUE,YES,,38,0,Market value of the security held in USD.
SEC_HOLDING_FILING_ATTRIBUTES,ARRAY,OPENFIGI_COMPOSITE_ID,YES,,,,Array of the country-level composite FIGI ID(s) for the security. In cases where there is a share class FIGI (global ID) and the security is tradable in more than one country there may be multiple composite IDs associated with a single security.
SEC_HOLDING_FILING_ATTRIBUTES,NUMBER,NUMBER_OF_SHARES,YES,,38,0,"Number of shares held. When NULL, the principal amount was disclosed instead, and can be found in the principal_amount column."
SEC_HOLDING_FILING_ATTRIBUTES,TEXT,ADSH,YES,16777216,,,Unique accession number for the filing. Can be used to join to the sec_holding_filing_index table.
SEC_HOLDING_FILING_ATTRIBUTES,TEXT,TOP_LEVEL_OPENFIGI_ID,YES,16777216,,,"OpenFIGI ID of the highest, most widely encompassing level for a particular security. The hierarchy follows the order ""share class FIGI"" (global) > ""composite FIGI"" (country-level) > ""FIGI"" (exchange-level)."
SEC_HOLDING_FILING_ATTRIBUTES,TEXT,PUTCALL,YES,16777216,,,"One of Put, Call, or NULL. When disclosed as Put or Call, the security is held as a put option or call option, respectively."
SEC_HOLDING_FILING_ATTRIBUTES,TEXT,PRIMARY_TICKER,YES,16777216,,,"The ticker for the primary trading venue of a security. If a security trades on multiple exchanges or has numerous tickers, an attempt is made to select the ticker from the home market."
SEC_HOLDING_FILING_ATTRIBUTES,TEXT,PERMID_SECURITY_ID,YES,16777216,,,PermID for the security.
SEC_HOLDING_FILING_ATTRIBUTES,ARRAY,OPENFIGI_FIGI_ID,YES,,,,"Array of the FIGI (Financial Instrument Global Identifier) ID(s) for the security. In cases where there is a share class FIGI (global ID) or composite FIGI (country-level ID) becase a security trades across multiple countries or exchanges, there may be multiple FIGI IDs associated with a single security."
