TABLE_NAME,DATA_TYPE,COLUMN_NAME,IS_NULLABLE,CHARACTER_MAXIMUM_LENGTH,NUMERIC_PRECISION,NUMERIC_SCALE,COMMENT
SEC_REPORT_ATTRIBUTES,TEXT,CIK,YES,16777216,,,Central Index Key (CIK). Ten digit number assigned by the SEC to each registrant that submits filings.
SEC_REPORT_ATTRIBUTES,NUMBER,COVERED_QTRS,YES,,38,0,"The count of the number of quarters represented by the data value, rounded to the nearest whole number. ""0"" indicates it is a point-in-time value (e.g., cash balance as of a particular date)."
SEC_REPORT_ATTRIBUTES,DATE,PERIOD_END_DATE,YES,,,,Period end date of the value.
SEC_REPORT_ATTRIBUTES,VARIANT,METADATA,YES,,,,"Concatenation of tag names representing the axis and members appearing in the XBRL segments. Tag names have their first characters ""Statement"", last 4 characters ""Axis"", and last 6 characters ""Member"" or ""Domain"" truncated where they appear. Namespaces and prefixes are ignored because EDGAR validation guarantees that the local-names are unique with a submission. Each dimension is represented as the pair ""{axis}={member};"" and the axes concatenated in lexical order. Example: ""LegalEntity=Xyz;Scenario=Restated;"" represents the XBRL segment with dimension LegalEntityAxis and member XyzMember, dimension StatementScenarioAxis and member RestatedMember."
SEC_REPORT_ATTRIBUTES,TEXT,VALUE,YES,16777216,,,"The value. This is not scaled, it is as found in the Interactive Data file, but is rounded to four digits to the right of the decimal point."
SEC_REPORT_ATTRIBUTES,TEXT,VARIABLE,YES,32,,,Unique identifier for each individual measure.
SEC_REPORT_ATTRIBUTES,TEXT,TAG_VERSION,YES,16777216,,,An identifier for the naming convention version of a given tag.
SEC_REPORT_ATTRIBUTES,DATE,PERIOD_START_DATE,YES,,,,"Period start date of the value. For point-in-time values such as balance sheet items, this is the same as the period_end_date."
SEC_REPORT_ATTRIBUTES,TEXT,TAG,YES,16777216,,,Unique name of the variable or measurement that pertains to the value.
SEC_REPORT_ATTRIBUTES,NUMBER,REPORT,YES,,38,0,Represents the report grouping. This is the sequential order of the line item in the XBRL data.
SEC_REPORT_ATTRIBUTES,TEXT,STATEMENT,YES,16777216,,,"The financial statement location to which the value of the ""report"" field pertains."
SEC_REPORT_ATTRIBUTES,TEXT,MEASURE_DESCRIPTION,YES,16777216,,,"The text presented on the line item in the original filing. Also known as a ""preferred"" label."
SEC_REPORT_ATTRIBUTES,TEXT,UNIT_OF_MEASURE,YES,16777216,,,The unit of measure for the value.
SEC_REPORT_ATTRIBUTES,TEXT,ADSH,YES,16777216,,,Accession Number assigned to each filing in the EDGAR system. Unique identifier for each individual filing. The Accession number can be used to track all records from a single filing.
