TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,DATA_SOURCE_URL,10,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Array of URLs that provide the overview of each of the data sources in this table.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,LAST_UPDATED_TIMESTAMP,13,,YES,TIMESTAMP_TZ,,,,,,9,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Timestamp for the table's last update or modification.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,CREATED_DATE,12,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Date for the table's addition to the Snowflake Marketplace.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,LISTING_URL,4,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,URLs of listing(s) associated with table.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,DESCRIPTION,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Details on the source of the data, the table, and what is included in the table."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,TABLE_TYPE,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Cybersyn table type as part of the unified schema.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,LICENSE_URL,11,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Array of URLs that provide the licensing for the data sources in this table.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,SELECT_RELATED_TABLES,9,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Array of tables that you can join based on the entity and variable relationships; not an exhaustive list.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,TABLE_NAME_PROPER,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Human-readable table name.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,LISTING_NAME,5,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Human-readable name of listing(s) associated with table.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,TABLE_NAME,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Machine-readable table name.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,ENTITIES,8,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Array of entities that are included in the table.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,SHORT_DESCRIPTION,15,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Summarized details on the source of the data, the table, and what is included in the table."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,DATA_SOURCE,6,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Source of the data.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_DATA_CATALOG,DOCUMENTATION_URL,14,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,URL of the documentation associated with the table.
