TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_FINANCIAL_ECONOMIC_INDICATORS_ATTRIBUTES,FRED_SERIES_ID,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique identifier for the variable from the FRED database. Visualize the timeseries by inputing this into https://fred.stlouisfed.org/series/{fred_series_id}.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_FINANCIAL_ECONOMIC_INDICATORS_ATTRIBUTES,RELEASE_NAME,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The individual report or collection of data in which the data was released.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_FINANCIAL_ECONOMIC_INDICATORS_ATTRIBUTES,UNIT,9,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unit of measurement for the reported value.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_FINANCIAL_ECONOMIC_INDICATORS_ATTRIBUTES,SEASONALLY_ADJUSTED,10,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Indicates whether the value is seasonally adjusted.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_FINANCIAL_ECONOMIC_INDICATORS_ATTRIBUTES,VARIABLE_NAME,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Human-readable unique name for the variable.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_FINANCIAL_ECONOMIC_INDICATORS_ATTRIBUTES,FREQUENCY,8,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Frequency of aggregations.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_FINANCIAL_ECONOMIC_INDICATORS_ATTRIBUTES,RELEASE_SOURCE,5,,YES,TEXT,27,108,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Source where the variable is originally collected or published.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_FINANCIAL_ECONOMIC_INDICATORS_ATTRIBUTES,VARIABLE,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Unique identifier for a variable, joinable to the timeseries table."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_FINANCIAL_ECONOMIC_INDICATORS_ATTRIBUTES,MEASURE,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Quantifiable attribute or subject; description of what is being recorded.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_FINANCIAL_ECONOMIC_INDICATORS_ATTRIBUTES,MEASUREMENT_TYPE,11,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Details how the variable was measured or calculated; specifications for the type of unit measured.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,CYBERSYN_FINANCIAL_ECONOMIC_INDICATORS_ATTRIBUTES,INDUSTRY,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Industry or sub-industry of the time series.
