TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,EUROPEAN_CENTRAL_BANK_ATTRIBUTES,MEASURE,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Quantifiable attribute or subject; description of what is being recorded.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,EUROPEAN_CENTRAL_BANK_ATTRIBUTES,ITEM_DESCRIPTION,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The item category referenced as part of the harmonized index of consumer prices.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,EUROPEAN_CENTRAL_BANK_ATTRIBUTES,UNIT,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unit of measurement for the reported value.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,EUROPEAN_CENTRAL_BANK_ATTRIBUTES,SOURCE,10,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Source where the variable is originally collected or published.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,EUROPEAN_CENTRAL_BANK_ATTRIBUTES,MEASUREMENT_TYPE,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Details how the variable was measured or calculated; specifications for the type of unit measured (e.g., 3-month moving average (Average of observations through period))."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,EUROPEAN_CENTRAL_BANK_ATTRIBUTES,VARIABLE,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Unique identifier for a variable, joinable to the timeseries table."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,EUROPEAN_CENTRAL_BANK_ATTRIBUTES,SEASONALLY_ADJUSTED,9,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Indicates whether the value is seasonally adjusted.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,EUROPEAN_CENTRAL_BANK_ATTRIBUTES,FREQUENCY,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Frequency of aggregations.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,EUROPEAN_CENTRAL_BANK_ATTRIBUTES,VARIABLE_NAME,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Human-readable unique name for the variable.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,EUROPEAN_CENTRAL_BANK_ATTRIBUTES,GEO_COVERAGE,8,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Determines whether the variable relates to part or all of a country (e.g., Whole country, Large cities, National excluding capital city)."
