TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_BRANCH_ENTITIES,ID_ZIP,17,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique identifier of the zip code where the entity is located
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_BRANCH_ENTITIES,ID_COUNTY,16,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique identifier of the county where the entity is located
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_BRANCH_ENTITIES,STATE_ABBREVIATION,12,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Abbreviation of the state the entity is physically located in
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_BRANCH_ENTITIES,END_DATE,8,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Last date for which the branch was open. NULL if still active
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_BRANCH_ENTITIES,ID_RSSD_PARENT,2,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique identifier for the head office of the entity if the entity is a branch
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_BRANCH_ENTITIES,CATEGORY,5,,YES,TEXT,27,108,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Category of the entity for a given RSSD. Branch or bank
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_BRANCH_ENTITIES,IS_ACTIVE,6,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Status of the branch to determine active or closed
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_BRANCH_ENTITIES,BRANCH_NAME,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of the banking branch
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_BRANCH_ENTITIES,ID_STATE,15,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique identifier of the state where the entity is located
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_BRANCH_ENTITIES,ID_RSSD,1,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A unique identifier assigned by the Federal Reserve for the financial institution
