TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,ID_ZIP,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,a unique identifier of the mailing zip code provided by the consumer
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,PRODUCT,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,type of product identified by the consumer in the complaint.  Product categories were consolidated by the CFPB in 2017
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,CONSUMER_CONSENT_PROVIDED,14,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Identifies consumer consent in publishing their complaint narrative
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,SUB_PRODUCT,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,type of sub-product identified by the consumer in the complaint.  Sub-product categories were consolidated by the CFPB in 2017
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,ISSUE,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,type of issue identified by the consumer in the complaint.  The categorical issues available for selection have evolved over time
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,COMPANY_RESPONSE_TO_CONSUMER,10,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Company explanation of how the issue was closed, selected from a list"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,ID_STATE,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,a unique identifier of the mailing state provided by the consumer
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,ZIP_CODE,12,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,mailing zip code provided by the consumer
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,COMPANY,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Company identified by the consumer in the complaint.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,TAGS,13,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Categorical data supporting easier searching of complaints submitted by or on behalf of consumers, includes ""Older American"" and ""Servicemember"""
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,SUB_ISSUE,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,type of sub-issue identified by the consumer in the complaint.  The categorical sub-issues available for selection have evolved over time
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,CONSUMER_COMPLAINT_NARRATIVE,8,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The consumer-submitted description of the complaint, with PII scrubbed by the CFPB.  Consumers must opt-in and can opt out at any time"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,DATE_SENT_TO_COMPANY,18,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Date the CFPB sent the complaint to the company
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,STATE,11,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,mailing state provided by the consumer
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,DATE_RECEIVED,17,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Date the CFPB received the complaint
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,SUBMITTED_VIA,15,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,How the complaint was submitted
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,COMPANY_PUBLIC_RESPONSE,9,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The optional, public-facing response to a consumer complaint chosen by the company from a list"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,TIMELY_RESPONSE,19,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Indicates whether the company gave a timely response
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_CFPB_COMPLAINT,CONSUMER_DISPUTED,16,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Whether the consumer disputed the company response.  After April 24, 2017 the Bureau discontinued this option and this field is marked N/A"
