TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,FDIC_CERT,17,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A unique identifier for the financial institution assigned by the FDIC
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,ID_COUNTRY,20,,YES,TEXT,11,44,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A unique geographic identifier for the country where the bank is located
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,EMPLOYER_IDENTIFICATION_NUMBER,25,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Employer identification number (EIN), a number assigned to a business by the Internal Revenue Service, effective 2008-12-31."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,IS_ACTIVE,4,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Status of the bank to determine active or closed
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,NAICS_CODE,28,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,NAICS code of the primary activity conducted by an entity.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,NAME,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of the bank
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,LEGAL_ENTITY_IDENTIFIER,24,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Code to identify a legally distinct entity that engages in a financial transaction. Issued by approved local operating units around the world in conjunction with the Global LEI Foundation.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,ADDRESS,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Stree-level address of the bank
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,ENTITY_TYPE,15,,YES,TEXT,85,340,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The institution grouping for the bank (National Bank, Non-member Bank, etc.)"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,STATE_ABBREVIATION,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,State of the bank
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,URL,9,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Link to the bank website
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,OCC_ID,18,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A unique identifier for the financial institution assigned by the Office of the Comptroller of the Currency
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,ID_ZIP,23,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A unique geographic identifier for the zip code where the bank is located
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,CATEGORY,3,,YES,TEXT,27,108,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Category for the entity
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,ID_STATE,21,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A unique geographic identifier for the state where the bank is located
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,ZIP_CODE,8,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Zip code of the bank
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,MAJORITY_OWNED_BY_MINORITY_OR_WOMEN,29,,YES,TEXT,23,92,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Indicates whether the entity is more than 50% owned by one or more minorities or women with identification of the minority. If the ownership is by a woman who is also a member of a minority, the item is coded as minority. Not all codes provided by the FFIEC data were mapped in the reference data"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,REASON_FOR_ENTITY_TERMINATION,26,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The circumstances under which an entity ceased to exist or an indicator that an entity failed but remained open.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,FEDERAL_REGULATOR,14,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The abbreviation for the banking regulator (OCC, FED, FDIC)"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,INSURER,16,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Indicates whether an institution is insured under the Deposit Insurance Fund (DIF).
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,THRIFT_ID,19,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"A unique identifier for the financial institution assigned by the Office of Thrift Supervision, last 5 characters only"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,INTERNATIONAL_BANKING_FACILITY,27,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Indicates whether an entity has an International Banking Facility.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,ID_RSSD,1,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A unique identifier assigned by the Federal Reserve for the financial institution
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,SPECIALIZATION_GROUP,30,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Specialization Group from FDIC, defined as Asset Concentration Hierarchy (e.g., Agricultural Specialization)"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,START_DATE,10,,YES,TIMESTAMP_NTZ,,,,,,9,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,First date for which the bank was open
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,ID_COUNTY,22,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A unique geographic identifier for the county where the bank is located
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,END_DATE,11,,YES,TIMESTAMP_NTZ,,,,,,9,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Last date for which the bank was open. NULL if still active
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,CHARTER_TYPE,13,,YES,TEXT,55,220,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The particular charter assigned to the bank (Industrial Bank, Commercial Bank, etc.)"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,CITY,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,City of the bank
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_ENTITIES,CHARTERING_AUTHORITY,12,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The level of the chartering agency of the institution (State, Federal)"
