TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_EVENTS,ID_RSSD_PREDECESSOR,5,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique identifier for predecessor entity joinable to entities table
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_EVENTS,MERGER_ACCOUNTING_METHOD_UTILIZED,11,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Accounting method used in resolving a non-failure merger
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_EVENTS,TRANSACTION_DATE,9,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Date of transaction
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_EVENTS,NAME_PREDECESSOR,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of predecessor entity
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_EVENTS,ID_RSSD_SUCCESSOR,1,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique identifier for successor entity joinable to entities table
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_EVENTS,ACTIVE_PREDECESSOR,7,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Flag to indicate if predecessor is active
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_EVENTS,NAME_SUCCESSOR,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of successor entity
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_EVENTS,CATEGORY_SUCCESSOR,4,,YES,TEXT,27,108,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,High-level category of successor entity legal structure
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_EVENTS,ACTIVE_SUCCESSOR,3,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Flag to indicate if successor is active
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_EVENTS,CATEGORY_PREDECESSOR,8,,YES,TEXT,27,108,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,High-level category of predecessor entity legal structure
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_EVENTS,TRANSFORMATION_TYPE,10,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Description of transformation
