TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_HIERARCHY,PARENT_CONTROLS_OFFSPRING,10,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Indication if the parent has direct control over the offspring
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_HIERARCHY,CATEGORY_PARENT,4,,YES,TEXT,27,108,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"High-level category of successor entity legal structure (e.g., Bank Holding Company)"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_HIERARCHY,PERCENT_CONTROL_OF_OFFSPRING,11,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Parent percentage of controlling interest in the offspring
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_HIERARCHY,NAME_PARENT,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of parent entity
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_HIERARCHY,CATEGORY_OFFSPRING,8,,YES,TEXT,27,108,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"High-level category of successor entity legal structure (e.g., Branch, Bank)"
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_HIERARCHY,ID_RSSD_PARENT,1,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique identifier for parent entity. Joinable to entities table
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_HIERARCHY,ACTIVE_OFFSPRING,7,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Flag to indicate if offspring is active
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_HIERARCHY,RELATIONSHIP_TERMINATED,9,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Indication if the relationship is still current
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_HIERARCHY,RELATIONSHIP_LEVEL,12,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Description of the type of relationship between the two entities
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_HIERARCHY,ID_RSSD_OFFSPRING,5,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique identifier for offspring entity. Joinable to entities table
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_HIERARCHY,NAME_OFFSPRING,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of offspring entity
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FINANCIAL_INSTITUTION_HIERARCHY,ACTIVE_PARENT,3,,YES,BOOLEAN,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Flag to indicate if parent is active
