TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,US_ECONOMIC_CENSUS_ATTRIBUTES,CREDIT_CARD_SERVICES_INCOME,11,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Specific source of credit card products or services income category (e.g., from cardholder fees, interest, merchant fees)."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,US_ECONOMIC_CENSUS_ATTRIBUTES,NAICS_DESCRIPTION,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Description of Industry classification according to North American Industry Classification System.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,US_ECONOMIC_CENSUS_ATTRIBUTES,NAICS_CODE,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Industry classification according to North American Industry Classification System.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,US_ECONOMIC_CENSUS_ATTRIBUTES,PRODUCT_SERVICES_LINE,10,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Related product or service.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,US_ECONOMIC_CENSUS_ATTRIBUTES,VARIABLE_NAME,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Human-readable unique name for the variable.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,US_ECONOMIC_CENSUS_ATTRIBUTES,OPERATION_TYPE,8,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Type of operation run by the establishment (e.g., Merchant wholesalers; Manufacturer's sales branches and offices)."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,US_ECONOMIC_CENSUS_ATTRIBUTES,VARIABLE,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Unique identifier for a variable, joinable to the timeseries table."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,US_ECONOMIC_CENSUS_ATTRIBUTES,MEASURE,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Quantifiable attribute or subject; description of what is being recorded.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,US_ECONOMIC_CENSUS_ATTRIBUTES,TAX_STATUS,9,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Establishment's tax status (e.g., exempt from or subject to federal income tax)."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,US_ECONOMIC_CENSUS_ATTRIBUTES,UNIT,4,,YES,TEXT,13,52,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unit of measurement for the reported value.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,US_ECONOMIC_CENSUS_ATTRIBUTES,FREQUENCY,5,,YES,TEXT,6,24,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Frequency of aggregations.
