TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
SEC_FILINGS,CYBERSYN,COMPANY_INDEX,EIN,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Employer Identification Number, a unique identification number that is assigned to a business by the IRS."
SEC_FILINGS,CYBERSYN,COMPANY_INDEX,COMPANY_NAME,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The name of the company.
SEC_FILINGS,CYBERSYN,COMPANY_INDEX,COMPANY_ID,1,,YES,TEXT,32,128,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique identifier assigned by Cybersyn to each company.
SEC_FILINGS,CYBERSYN,COMPANY_INDEX,PRIMARY_EXCHANGE_CODE,9,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The exchange code for the primary trading venue of a security.
SEC_FILINGS,CYBERSYN,COMPANY_INDEX,PERMID_COMPANY_ID,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Permanent Identifier, which is a identifier provided by Refinitiv (via PermID) to provide a way to uniquely identify a company."
SEC_FILINGS,CYBERSYN,COMPANY_INDEX,CIK,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Central Index Key, a unique identifier for corporations registered with the United States Securities and Exchange Commission (SEC)."
SEC_FILINGS,CYBERSYN,COMPANY_INDEX,ENTITY_LEVEL,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Describes the type or level of the entity for additional convenience. Currently, all entities are corporate entities and are denoted as 'Corporate'."
SEC_FILINGS,CYBERSYN,COMPANY_INDEX,PRIMARY_EXCHANGE_NAME,10,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The exchange name for the primary trading venue of a security.
SEC_FILINGS,CYBERSYN,COMPANY_INDEX,LEI,6,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Legal Entity Identifier, a unique identifier from GLEIF that identifies legal entities that engage in financial transactions."
SEC_FILINGS,CYBERSYN,COMPANY_INDEX,GLOBAL_TICKERS,11,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,An array of ticker symbols under which the security may be traded globally on all exchanges.
SEC_FILINGS,CYBERSYN,COMPANY_INDEX,PRIMARY_TICKER,8,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The ticker for the primary trading venue of a security. If a security trades on multiple exchanges or has numerous tickers, an attempt is made to select the ticker from the home market."
