TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
SEC_FILINGS,CYBERSYN,OPENFIGI_SECURITY_INDEX,SECURITY_SUBTYPE,7,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Sub-type of the security, providing further classification. Like SECURITY_TYPE, securities can also have multiple subtypes."
SEC_FILINGS,CYBERSYN,OPENFIGI_SECURITY_INDEX,PRIMARY_TICKER,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The ticker for the primary trading venue of a security. If a security trades on multiple exchanges or has numerous tickers, an attempt is made to select the ticker from the home market."
SEC_FILINGS,CYBERSYN,OPENFIGI_SECURITY_INDEX,OPENFIGI_COMPOSITE_ID,10,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Array of the country-level composite FIGI ID(s) for the security. In cases where there is a share class FIGI (global ID) and the security is tradable in more than one country there may be multiple composite IDs associated with a single security.
SEC_FILINGS,CYBERSYN,OPENFIGI_SECURITY_INDEX,ASSET_CLASS,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Broad-based class of the asset, such as 'Equity', 'Muni', etc."
SEC_FILINGS,CYBERSYN,OPENFIGI_SECURITY_INDEX,SECURITY_TYPE,6,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The type of security, such as ""Common Stock"" for equities. Securities can fall into multiple categories such as when a company has both tradable shares of Common Stock and an ADR."
SEC_FILINGS,CYBERSYN,OPENFIGI_SECURITY_INDEX,TOP_LEVEL_OPENFIGI_ID_TYPE,2,,YES,TEXT,23,92,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The highest level of the OpenFIGI ID in the hierarchy for the security held. The hierarchy follows the order ""share class FIGI"" (global) > ""composite FIGI"" (country-level) > ""FIGI"" (exchange-level). For example, if the highest level of ID (recorded in TOP_LEVEL_OPENFIGI_ID) is the composite FIGI, then this will be equal to 'openfigi_composite_id'."
SEC_FILINGS,CYBERSYN,OPENFIGI_SECURITY_INDEX,TOP_LEVEL_OPENFIGI_ID,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"OpenFIGI ID of the highest, most widely encompassing level for a particular security. The hierarchy follows the order ""share class FIGI"" (global) > ""composite FIGI"" (country-level) > ""FIGI"" (exchange-level)."
SEC_FILINGS,CYBERSYN,OPENFIGI_SECURITY_INDEX,OPENFIGI_FIGI_ID,9,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Array of the FIGI (Financial Instrument Global Identifier) ID(s) for the security. In cases where there is a share class FIGI (global ID) or composite FIGI (country-level ID) because a security trades across multiple countries or exchanges, there may be multiple FIGI IDs associated with a single security."
SEC_FILINGS,CYBERSYN,OPENFIGI_SECURITY_INDEX,OPENFIGI_SHARE_CLASS_ID,11,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The global share class FIGI ID(s) for the security. This is meant to be the most broad classification in the FIGI classification hierarchy.
SEC_FILINGS,CYBERSYN,OPENFIGI_SECURITY_INDEX,EXCHANGE_CODES,12,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Codes representing the exchanges where the security is traded. An empty array means that exchange information is not available.
SEC_FILINGS,CYBERSYN,OPENFIGI_SECURITY_INDEX,SECURITY_NAME,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of the security.
SEC_FILINGS,CYBERSYN,OPENFIGI_SECURITY_INDEX,GLOBAL_TICKERS,8,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,An array of ticker symbols under which the security may be traded globally on all exchanges.
