TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
SEC_FILINGS,CYBERSYN,PERMID_SECURITY_INDEX,GLOBAL_TICKERS,8,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,An array of ticker symbols under which the security may be traded globally on all exchanges.
SEC_FILINGS,CYBERSYN,PERMID_SECURITY_INDEX,PERMID_SECURITY_ID,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,PermID for the security.
SEC_FILINGS,CYBERSYN,PERMID_SECURITY_INDEX,PERMID_QUOTE_ID,10,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,An array of PermIDs for the quotes for each exchange where the security is traded. An empty array means that quote information is not available.
SEC_FILINGS,CYBERSYN,PERMID_SECURITY_INDEX,PRIMARY_TICKER,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The ticker for the primary trading venue of a security. If a security trades on multiple exchanges or has numerous tickers, an attempt is made to select the ticker from the home market."
SEC_FILINGS,CYBERSYN,PERMID_SECURITY_INDEX,ASSET_CLASS,4,,YES,TEXT,28,112,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Broad-based class of the asset, such as 'Ordinary Shares', 'Depositary Receipts', etc."
SEC_FILINGS,CYBERSYN,PERMID_SECURITY_INDEX,PRIMARY_EXCHANGE_NAME,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The exchange name for the primary trading venue of a security.
SEC_FILINGS,CYBERSYN,PERMID_SECURITY_INDEX,EXCHANGE_CODE,9,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,An array of codes representing the exchanges where the security is traded. An empty array means that exchange information is not available.
SEC_FILINGS,CYBERSYN,PERMID_SECURITY_INDEX,PRIMARY_EXCHANGE_CODE,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The exchange code for the primary trading venue of a security.
SEC_FILINGS,CYBERSYN,PERMID_SECURITY_INDEX,SECURITY_STATUS,7,,YES,TEXT,8,32,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Status of the security, i.e. 'Active' or 'Inactive'. An active security is a security that has active quotes and an inactive security has no active quotes. This status changes over time."
SEC_FILINGS,CYBERSYN,PERMID_SECURITY_INDEX,SECURITY_NAME,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of the security.
