TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_ATTRIBUTES,SECURITY_NAME,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of the security or of the issuer of the security.
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_ATTRIBUTES,NUMBER_OF_SHARES,10,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Number of shares held. When NULL, the principal amount was disclosed instead, and can be found in the principal_amount column."
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_ATTRIBUTES,ASSET_CLASS,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Broad-based class of the asset, such as 'Equity', 'Muni', etc."
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_ATTRIBUTES,INVESTMENT_DISCRETION,13,,YES,TEXT,14,56,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"One of shared-defined, sole, or shared-other. Denotes the nature of the investment discretion for this holding by the filing manager."
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_ATTRIBUTES,SECURITY_TYPE,8,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The type of security, such as ""Common Stock"" for equities. Securities can fall into multiple categories such as when a company has both tradable shares of Common Stock and an ADR."
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_ATTRIBUTES,OPENFIGI_COMPOSITE_ID,15,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Array of the country-level composite FIGI ID(s) for the security. In cases where there is a share class FIGI (global ID) and the security is tradable in more than one country there may be multiple composite IDs associated with a single security.
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_ATTRIBUTES,PRINCIPAL_AMOUNT,11,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The principal amount held. When NULL, the number of shares was disclosed instead, and can be found in the number_of_shares column."
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_ATTRIBUTES,HOLDER_CIK,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Central Index Key (CIK) of the holding manager.
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_ATTRIBUTES,OPENFIGI_FIGI_ID,16,,YES,ARRAY,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Array of the FIGI (Financial Instrument Global Identifier) ID(s) for the security. In cases where there is a share class FIGI (global ID) or composite FIGI (country-level ID) because a security trades across multiple countries or exchanges, there may be multiple FIGI IDs associated with a single security."
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_ATTRIBUTES,MARKET_VALUE,9,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Market value of the security held in USD.
