TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
SEC_FILINGS,CYBERSYN,SEC_CIK_INDEX,EIN,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Employee Identification Number assigned by the Internal Revenue Service (IRS)
SEC_FILINGS,CYBERSYN,SEC_CIK_INDEX,COMPANY_NAME,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of registrant. This corresponds to the name of the legal entity as of the latest filing date.
SEC_FILINGS,CYBERSYN,SEC_CIK_INDEX,SIC_CODE_CATEGORY,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Standard Industrial Classification (SIC) code category.
SEC_FILINGS,CYBERSYN,SEC_CIK_INDEX,COUNTRY,11,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The country of the registrant.
SEC_FILINGS,CYBERSYN,SEC_CIK_INDEX,CITY,8,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The city of the registrant.
SEC_FILINGS,CYBERSYN,SEC_CIK_INDEX,COMPANY_ID,1,,YES,TEXT,32,128,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique identifier assigned by Cybersyn to each company.
SEC_FILINGS,CYBERSYN,SEC_CIK_INDEX,COUNTRY_GEO_ID,12,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A unique identifier of the country where the business is headquartered. Joinable to the GEOGRAPHY_INDEX table
SEC_FILINGS,CYBERSYN,SEC_CIK_INDEX,STATE_GEO_ID,10,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,A unique identifier of the state where the business is headquartered. Joinable to the GEOGRAPHY_INDEX table
SEC_FILINGS,CYBERSYN,SEC_CIK_INDEX,SIC_CODE_DESCRIPTION,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Standard Industrial Classification (SIC) code description.
SEC_FILINGS,CYBERSYN,SEC_CIK_INDEX,SIC,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Standard Industrial Classification (SIC). Code assigned by the SEC indicating the registrant industry group.
SEC_FILINGS,CYBERSYN,SEC_CIK_INDEX,STATE,9,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The state or province of the registrant.
SEC_FILINGS,CYBERSYN,SEC_CIK_INDEX,CIK,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Central Index Key (CIK). Ten digit number assigned by the SEC to each registrant that submits filings.
