TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_INDEX,REPORTING_PERIOD_YEAR,6,,YES,NUMBER,,,4,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Calendar year for this reporting period.
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_INDEX,FILING_DATE,4,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Filing date with with SEC.
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_INDEX,CIK,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Central Index Key (CIK). Ten digit number assigned by the SEC to each registrant that submits filings.
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_INDEX,FILING_MANAGER_NAME,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Filing manager's name.
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_INDEX,ADDITIONAL_INFORMATION,10,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Additional information the filer has opted to include in the report.
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_INDEX,SUBMISSION_TYPE,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Type of submission for this filing. One of 13F-HR(/A) to denote a holdings report (or its amendment), or 13F-NT(/A) to denote a notice report (or its amendment)."
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_INDEX,REPORTING_PERIOD_QUARTER,5,,YES,NUMBER,,,2,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Calendar quarter for this reporting period.
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_INDEX,ADSH,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique accession number for the filing. Can be used to join to the sec_holding_filing_attributes table.
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_INDEX,TOTAL_HOLDING_VALUE,9,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Aggregate value of the holdings in this report.
SEC_FILINGS,CYBERSYN,SEC_HOLDING_FILING_INDEX,NUMBER_OF_HOLDINGS,8,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Number of holdings included in this report.
