TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,PERIOD_START_DATE,11,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Period start date of the value. For point-in-time values such as balance sheet items, this is the same as the period_end_date."
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,TAG,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique name of the variable or measurement that pertains to the value.
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,VALUE,8,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The value. This is not scaled, it is as found in the Interactive Data file, but is rounded to four digits to the right of the decimal point."
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,VARIABLE,1,,YES,TEXT,32,128,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unique identifier for each individual measure.
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,METADATA,14,,YES,VARIANT,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Concatenation of tag names representing the axis and members appearing in the XBRL segments. Tag names have their first characters ""Statement"", last 4 characters ""Axis"", and last 6 characters ""Member"" or ""Domain"" truncated where they appear. Namespaces and prefixes are ignored because EDGAR validation guarantees that the local-names are unique with a submission. Each dimension is represented as the pair ""{axis}={member};"" and the axes concatenated in lexical order. Example: ""LegalEntity=Xyz;Scenario=Restated;"" represents the XBRL segment with dimension LegalEntityAxis and member XyzMember, dimension StatementScenarioAxis and member RestatedMember."
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,UNIT_OF_MEASURE,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The unit of measure for the value.
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,COVERED_QTRS,13,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The count of the number of quarters represented by the data value, rounded to the nearest whole number. ""0"" indicates it is a point-in-time value (e.g., cash balance as of a particular date)."
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,REPORT,9,,YES,NUMBER,,,38,10,0,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Represents the report grouping. This is the sequential order of the line item in the XBRL data.
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,CIK,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Central Index Key (CIK). Ten digit number assigned by the SEC to each registrant that submits filings.
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,STATEMENT,10,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The financial statement location to which the value of the ""report"" field pertains."
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,TAG_VERSION,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,An identifier for the naming convention version of a given tag.
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,ADSH,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Accession Number assigned to each filing in the EDGAR system. Unique identifier for each individual filing. The Accession number can be used to track all records from a single filing.
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,MEASURE_DESCRIPTION,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"The text presented on the line item in the original filing. Also known as a ""preferred"" label."
SEC_FILINGS,CYBERSYN,SEC_REPORT_ATTRIBUTES,PERIOD_END_DATE,12,,YES,DATE,,,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Period end date of the value.
