TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,BANK_FOR_INTERNATIONAL_SETTLEMENTS_ATTRIBUTES,GEO_NAME,9,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Country or country group, representing the primary geography for the variable."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,BANK_FOR_INTERNATIONAL_SETTLEMENTS_ATTRIBUTES,VARIABLE_NAME,2,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Human-readable name for the variable.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,BANK_FOR_INTERNATIONAL_SETTLEMENTS_ATTRIBUTES,COUNTERPARTY_GEO_NAME,10,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Country or country group, representing the counterparty geography for the variable."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,BANK_FOR_INTERNATIONAL_SETTLEMENTS_ATTRIBUTES,SERIES_ID,3,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Unique identifier for a variable series (i.e., data flow) from the Bank for International Settlements (BIS)."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,BANK_FOR_INTERNATIONAL_SETTLEMENTS_ATTRIBUTES,MEASURE,4,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Quantifiable attribute; description of what is being recorded.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,BANK_FOR_INTERNATIONAL_SETTLEMENTS_ATTRIBUTES,MEASUREMENT_TYPE,7,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Methodology for the collection of a variable over time.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,BANK_FOR_INTERNATIONAL_SETTLEMENTS_ATTRIBUTES,SOURCE,8,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Source where the variable is published.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,BANK_FOR_INTERNATIONAL_SETTLEMENTS_ATTRIBUTES,FREQUENCY,6,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Frequency of aggregations.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,BANK_FOR_INTERNATIONAL_SETTLEMENTS_ATTRIBUTES,UNIT,5,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Unit of measurement for the reported value.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,BANK_FOR_INTERNATIONAL_SETTLEMENTS_ATTRIBUTES,VARIABLE,1,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Unique identifier for a variable from the Bank for International Settlements (BIS) data flow and key IDs, joinable to the timeseries table."
