TABLE_CATALOG,TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,ORDINAL_POSITION,COLUMN_DEFAULT,IS_NULLABLE,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,CHARACTER_OCTET_LENGTH,NUMERIC_PRECISION,NUMERIC_PRECISION_RADIX,NUMERIC_SCALE,DATETIME_PRECISION,INTERVAL_TYPE,INTERVAL_PRECISION,CHARACTER_SET_CATALOG,CHARACTER_SET_SCHEMA,CHARACTER_SET_NAME,COLLATION_CATALOG,COLLATION_SCHEMA,COLLATION_NAME,DOMAIN_CATALOG,DOMAIN_SCHEMA,DOMAIN_NAME,UDT_CATALOG,UDT_SCHEMA,UDT_NAME,SCOPE_CATALOG,SCOPE_SCHEMA,SCOPE_NAME,MAXIMUM_CARDINALITY,DTD_IDENTIFIER,IS_SELF_REFERENCING,IS_IDENTITY,IDENTITY_GENERATION,IDENTITY_START,IDENTITY_INCREMENT,IDENTITY_MAXIMUM,IDENTITY_MINIMUM,IDENTITY_CYCLE,IDENTITY_ORDERED,SCHEMA_EVOLUTION_RECORD,COMMENT
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FDIC_BRANCH_LOCATIONS_INDEX,GEO_ID_COUNTY,33,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Geographic ID representing the county where the branch is physically located. Can be joined to the GEOGRAPHY_INDEX table.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FDIC_BRANCH_LOCATIONS_INDEX,INSTITUTION_CHARTER_AGENCY,23,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The chartering agency of the institution that granted the license or charter for the institution to operate and regulates and supervises the financial and operational activities of that institution.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FDIC_BRANCH_LOCATIONS_INDEX,BRANCH_NUMBER,11,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,The branch's corresponding office number.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FDIC_BRANCH_LOCATIONS_INDEX,INSTITUTION_PRIMARY_INSURER,20,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Primary insurer, insurance agent, or insurance status of an institution."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FDIC_BRANCH_LOCATIONS_INDEX,INSTITUTION_PRIMARY_ASSET_SPECIALIZATION,25,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Description of a mutually exclusive industry classification grouping which indicates the institution's primary asset specialization.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FDIC_BRANCH_LOCATIONS_INDEX,GEO_ID_STATE,31,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Geographic ID representing the state where the branch is physically located. Can be joined to the GEOGRAPHY_INDEX table.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FDIC_BRANCH_LOCATIONS_INDEX,BRANCH_NAME,10,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,"Name of the branch (e.g., Magnolia Branch)."
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FDIC_BRANCH_LOCATIONS_INDEX,GEO_ID_CBSA,34,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Geographic ID representing the core-based statistical area where the branch is physically located. Can be joined to the GEOGRAPHY_INDEX table.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FDIC_BRANCH_LOCATIONS_INDEX,FEDERAL_RESERVE_DISTRICT,18,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Name of the Federal Reserve District where the institution is located.
FINANCIAL__ECONOMIC_ESSENTIALS,CYBERSYN,FDIC_BRANCH_LOCATIONS_INDEX,INSTITUTION_MINORITY_DEPOSITORY_STATUS,26,,YES,TEXT,16777216,16777216,,,,,,,,,,,,,,,,,,,,,,,,NO,NO,,,,,,,,,Description of the regulatory status of the financial institution associated with the location.
